"district","grade","subject","adv_per_14","ni_per_14","pro_per_14","total_perf_14","wf_per_14"
"Benjamin Banneker Charter Public (District)","06","e",10,24,62,42,5
"Benjamin Banneker Charter Public (District)","06","m",26,19,50,42,5
"Benjamin Banneker Charter Public (District)","AL","e",12,25,58,177,5
"Benjamin Banneker Charter Public (District)","AL","m",25,30,37,178,8
"Benjamin Banneker Charter Public (District)","AL","s",7,47,37,43,9
"Benjamin Franklin Classical Charter Public (District)","03","e",24,20,53,49,2
"Benjamin Franklin Classical Charter Public (District)","03","m",50,8,40,50,2
"Benjamin Franklin Classical Charter Public (District)","04","e",18,22,58,50,2
"Benjamin Franklin Classical Charter Public (District)","04","m",44,14,38,50,4
"Benjamin Franklin Classical Charter Public (District)","05","e",36,12,52,50,0
"Benjamin Franklin Classical Charter Public (District)","05","s",20,28,52,50,0
"Benjamin Franklin Classical Charter Public (District)","06","e",6,22,72,50,0
"Benjamin Franklin Classical Charter Public (District)","07","e",8,4,88,52,0
"Benjamin Franklin Classical Charter Public (District)","07","m",40,8,48,52,4
"Benjamin Franklin Classical Charter Public (District)","08","e",13,2,83,46,2
"Benjamin Franklin Classical Charter Public (District)","08","m",46,15,33,46,7
"Benjamin Franklin Classical Charter Public (District)","08","s",13,15,70,46,2
"Benjamin Franklin Classical Charter Public (District)","AL","e",18,14,68,297,1
"Benjamin Franklin Classical Charter Public (District)","AL","m",45,11,40,198,4
"Benjamin Franklin Classical Charter Public (District)","AL","s",17,22,60,96,1
"Berkley","03","e",19,33,38,91,10
"Berkley","03","m",15,30,43,91,12
"Berkley","04","e",8,40,41,98,11
"Berkley","04","m",4,53,33,99,10
"Berkley","05","e",19,42,37,89,2
"Berkley","05","m",30,22,38,89,9
"Berkley","05","s",11,42,39,89,8
"Berkley","06","e",10,20,64,91,7
"Berkley","06","m",26,30,34,92,10
"Berkley","07","e",8,32,54,92,7
"Berkley","07","m",11,40,24,92,25
"Berkley","08","e",9,10,69,87,11
"Berkley","08","m",14,28,42,88,16
"Berkley","08","s",2,43,42,88,13
"Berkley","AL","e",12,30,50,548,8
"Berkley","AL","m",17,34,36,551,14
"Berkley","AL","s",7,42,41,177,10
"Berkshire Arts and Technology Charter Public (District)","06","e",9,29,55,65,6
"Berkshire Arts and Technology Charter Public (District)","06","m",27,27,30,64,17
